name,nationality,club,preferred.foot,position_group,age_group,overall,potential,wage,value
Jordi Alba,Spain,FC Barcelona,Left,DEF,25 to 30,87,87,250000,38000000
D. Mertens,Belgium,Napoli,Right,FWD,31 to 35,87,87,135000,45000000
J. Vertonghen,Belgium,Tottenham Hotspur,Left,DEF,31 to 35,87,87,155000,34000000
M. Hamšík,Slovakia,Napoli,Right,MID,25 to 30,87,87,125000,46000000
I. Rakitić,Croatia,FC Barcelona,Right,MID,25 to 30,87,87,260000,46000000
Piqué,Spain,FC Barcelona,Right,DEF,31 to 35,87,87,240000,34000000
L. Sané,Germany,Manchester City,Left,FWD,21 to 25,86,92,195000,61000000
Bernardo Silva,Portugal,Manchester City,Left,FWD,21 to 25,86,91,180000,59000000
Ederson,Brazil,Manchester City,Left,GK,21 to 25,86,90,125000,41000000
S. Mané,Senegal,Liverpool,Right,MID,25 to 30,86,87,195000,52000000
V. van Dijk,Netherlands,Liverpool,Right,DEF,25 to 30,86,88,165000,44000000
R. Sterling,England,Manchester City,Right,FWD,21 to 25,86,89,195000,56000000
Roberto Firmino,Brazil,Liverpool,Right,MID,25 to 30,86,87,195000,53000000
R. Varane,France,Real Madrid,Right,DEF,21 to 25,86,91,210000,50000000
M. Verratti,Italy,Paris Saint-Germain,Right,MID,21 to 25,86,89,135000,55000000
Alex Sandro,Brazil,Juventus,Left,DEF,25 to 30,86,86,160000,36000000
Douglas Costa,Brazil,Juventus,Left,MID,25 to 30,86,86,175000,46000000
T. Müller,Germany,FC Bayern München,Right,MID,25 to 30,86,86,135000,45000000
Thiago,Spain,FC Bayern München,Right,MID,25 to 30,86,86,130000,45000000
M. Reus,Germany,Borussia Dortmund,Right,MID,25 to 30,86,86,100000,43000000
Azpilicueta,Spain,Chelsea,Right,DEF,25 to 30,86,86,175000,35000000
L. Bonucci,Italy,Juventus,Right,DEF,31 to 35,86,86,160000,30000000
T. Alderweireld,Belgium,Tottenham Hotspur,Right,DEF,25 to 30,86,87,150000,39000000
M. Pjanić,Bosnia Herzegovina,Juventus,Right,MID,25 to 30,86,86,180000,44000000
M. Benatia,Morocco,Juventus,Right,DEF,31 to 35,86,86,160000,30000000
M. Özil,Germany,Arsenal,Left,MID,25 to 30,86,86,190000,43000000
Fernandinho,Brazil,Manchester City,Right,MID,31 to 35,86,86,185000,18000000
Iniesta,Spain,Vissel Kobe,Right,FWD,31 to 35,86,86,21000,21000000
M. Škriniar,Slovakia,Inter,Right,DEF,21 to 25,85,92,82000,46000000
S. Milinković-Savić,Serbia,Lazio,Right,MID,21 to 25,85,90,73000,50000000
Marco Asensio,Spain,Real Madrid,Left,FWD,21 to 25,85,92,215000,54000000
N. Fekir,France,Olympique Lyonnais,Left,MID,21 to 25,85,89,92000,50000000
Alisson,Brazil,Liverpool,Right,GK,21 to 25,85,90,115000,36000000
J. Kimmich,Germany,FC Bayern München,Right,MID,21 to 25,85,88,92000,40000000
Saúl,Spain,Atlético Madrid,Left,MID,21 to 25,85,90,77000,50000000
R. Mahrez,Algeria,Manchester City,Left,FWD,25 to 30,85,85,205000,40000000
D. Alaba,Austria,FC Bayern München,Left,DEF,25 to 30,85,87,110000,38000000
Koke,Spain,Atlético Madrid,Right,MID,25 to 30,85,86,88000,45000000
A. Lacazette,France,Arsenal,Right,FWD,25 to 30,85,86,180000,45000000
K. Manolas,Greece,Roma,Right,DEF,25 to 30,85,87,96000,37000000
N. Otamendi,Argentina,Manchester City,Right,DEF,25 to 30,85,85,170000,28000000
Parejo,Spain,Valencia CF,Right,MID,25 to 30,85,85,66000,37000000
Paulinho,Brazil,Guangzhou Evergrande Taobao FC,Right,MID,25 to 30,85,85,235000,37000000
W. Szczęsny,Poland,Juventus,Right,GK,25 to 30,85,87,125000,32000000
A. Sánchez,Chile,Manchester United,Right,FWD,25 to 30,85,85,215000,37000000
Y. Brahimi,Algeria,FC Porto,Right,MID,25 to 30,85,85,28000,39000000
J. Boateng,Germany,FC Bayern München,Right,DEF,25 to 30,85,85,115000,30000000
A. Vidal,Chile,FC Barcelona,Right,MID,31 to 35,85,85,205000,26000000
I. Perišić,Croatia,Inter,Right,MID,25 to 30,85,85,110000,37000000
E. Džeko,Bosnia Herzegovina,Roma,Right,FWD,31 to 35,85,85,115000,30000000
S. Khedira,Germany,Juventus,Right,MID,31 to 35,85,85,160000,33000000
Diego Costa,Spain,Atlético Madrid,Right,FWD,25 to 30,85,85,100000,38000000
R. Nainggolan,Belgium,Inter,Right,MID,25 to 30,85,85,105000,35000000
Naldo,Brazil,FC Schalke 04,Right,DEF,31 to 35,85,85,38000,9000000
B. Matuidi,France,Juventus,Left,MID,31 to 35,85,85,145000,26000000
Miranda,Brazil,Inter,Right,DEF,31 to 35,85,85,96000,15000000
K. Benzema,France,Real Madrid,Right,FWD,25 to 30,85,85,240000,37000000
Filipe Luís,Brazil,Atlético Madrid,Left,DEF,31 to 35,85,85,81000,21000000
V. Kompany,Belgium,Manchester City,Right,DEF,31 to 35,85,85,170000,22000000
Pepe,Portugal,Beşiktaş JK,Right,DEF,31 to 35,85,85,57000,9000000
Z. Ibrahimović,Sweden,LA Galaxy,Right,FWD,Over 35,85,85,15000,14000000
D. Sánchez,Colombia,Tottenham Hotspur,Right,DEF,21 to 25,84,88,105000,34000000
J. Giménez,Uruguay,Atlético Madrid,Right,DEF,21 to 25,84,88,63000,34000000
Alex Telles,Brazil,FC Porto,Left,DEF,21 to 25,84,87,22000,32000000
A. Laporte,France,Manchester City,Left,DEF,21 to 25,84,88,135000,34000000
Bruno Fernandes,Portugal,Sporting CP,Right,MID,21 to 25,84,88,22000,40000000
N. Süle,Germany,FC Bayern München,Right,DEF,21 to 25,84,90,84000,36000000
A. Martial,France,Manchester United,Right,FWD,21 to 25,84,90,165000,42000000
D. Alli,England,Tottenham Hotspur,Right,MID,21 to 25,84,90,115000,42000000
Fabinho,Brazil,Liverpool,Right,MID,21 to 25,84,88,120000,34000000
Marquinhos,Brazil,Paris Saint-Germain,Right,MID,21 to 25,84,89,90000,35000000
William Carvalho,Portugal,Real Betis,Right,MID,25 to 30,84,86,38000,31000000
Jorginho,Italy,Chelsea,Right,MID,25 to 30,84,87,155000,38000000
F. Thauvin,France,Olympique de Marseille,Left,MID,21 to 25,84,87,72000,39000000
Carvajal,Spain,Real Madrid,Right,DEF,25 to 30,84,87,185000,31000000
M. Depay,Netherlands,Olympique Lyonnais,Right,FWD,21 to 25,84,89,93000,42000000
H. Son,Korea Republic,Tottenham Hotspur,Right,MID,21 to 25,84,85,125000,37000000
A. Lopes,Portugal,Olympique Lyonnais,Left,GK,25 to 30,84,86,72000,25000000
S. de Vrij,Netherlands,Inter,Right,DEF,25 to 30,84,86,88000,31000000
M. Perin,Italy,Juventus,Right,GK,21 to 25,84,89,105000,29000000
J. Cuadrado,Colombia,Juventus,Right,MID,25 to 30,84,84,150000,29000000
Iago Aspas,Spain,RC Celta,Left,FWD,25 to 30,84,84,45000,30000000
B. Leno,Germany,Arsenal,Right,GK,25 to 30,84,87,115000,27000000
N. Matić,Serbia,Manchester United,Left,MID,25 to 30,84,84,165000,24000000
L. Hrádecký,Finland,Bayer 04 Leverkusen,Right,GK,25 to 30,84,84,74000,22000000
Illarramendi,Spain,Real Sociedad,Right,MID,25 to 30,84,84,51000,31000000
K. Walker,England,Manchester City,Right,DEF,25 to 30,84,84,165000,24000000
I. Gündoğan,Germany,Manchester City,Right,MID,25 to 30,84,84,175000,32000000
José Callejón,Spain,Napoli,Right,MID,31 to 35,84,84,105000,27000000
A. Di María,Argentina,Paris Saint-Germain,Left,MID,25 to 30,84,84,125000,29000000
M. Mandžukić,Croatia,Juventus,Right,FWD,31 to 35,84,84,160000,25000000
Willian,Brazil,Chelsea,Right,FWD,25 to 30,84,84,175000,30000000
Sergio Asenjo,Spain,Villarreal CF,Right,GK,25 to 30,84,85,42000,24000000
E. Banega,Argentina,Sevilla FC,Right,MID,25 to 30,84,84,31000,29000000
A. Witsel,Belgium,Borussia Dortmund,Right,MID,25 to 30,84,84,77000,24000000
D. Payet,France,Olympique de Marseille,Right,MID,31 to 35,84,84,75000,27000000
Jonas,Brazil,SL Benfica,Right,FWD,31 to 35,84,84,25000,16000000
Sokratis,Greece,Arsenal,Right,DEF,25 to 30,84,84,140000,23000000
S. Ruffier,France,AS Saint-Étienne,Right,GK,31 to 35,84,84,41000,19000000
Falcao,Colombia,AS Monaco,Right,FWD,31 to 35,84,84,115000,25000000
K. Schmeichel,Denmark,Leicester City,Right,GK,31 to 35,84,84,78000,19000000
Raúl Albiol,Spain,Napoli,Right,DEF,31 to 35,84,84,88000,18000000
A. Gómez,Argentina,Atalanta,Right,FWD,25 to 30,84,84,53000,30000000
A. Barzagli,Italy,Juventus,Right,DEF,Over 35,84,84,95000,4000000
Quaresma,Portugal,Beşiktaş JK,Right,MID,31 to 35,84,84,80000,15000000
A. Robben,Netherlands,FC Bayern München,Left,MID,31 to 35,84,84,110000,15000000
O. Dembélé,France,FC Barcelona,Left,FWD,21 to 25,83,92,155000,40000000
Gabriel Jesus,Brazil,Manchester City,Right,FWD,21 to 25,83,92,130000,41000000
Ronaldo Cabrais,Brazil,Grêmio,Right,FWD,25 to 30,83,83,51000,28000000
Josué Chiamulera,Brazil,Grêmio,Right,DEF,25 to 30,83,83,43000,22000000
Louri Beretta,Brazil,Atlético Mineiro,Right,FWD,25 to 30,83,83,60000,28000000
P. Kimpembe,France,Paris Saint-Germain,Left,DEF,21 to 25,83,89,82000,30000000
N. Keïta,Guinea,Liverpool,Right,MID,21 to 25,83,88,120000,34000000
C. Tolisso,France,FC Bayern München,Right,MID,21 to 25,83,88,85000,34000000
T. Lemar,France,Atlético Madrid,Left,MID,21 to 25,83,89,64000,35000000
K. Coman,France,FC Bayern München,Right,MID,21 to 25,83,87,85000,34000000
J. Tah,Germany,Bayer 04 Leverkusen,Right,DEF,21 to 25,83,88,67000,29000000
Anderson Talisca,Brazil,Guangzhou Evergrande Taobao FC,Left,MID,21 to 25,83,90,18000,36000000
T. Werner,Germany,RB Leipzig,Right,FWD,21 to 25,83,87,70000,34000000
A. Rabiot,France,Paris Saint-Germain,Left,MID,21 to 25,83,87,91000,33000000
L. Goretzka,Germany,FC Bayern München,Right,MID,21 to 25,83,88,85000,34000000
Q. Promes,Netherlands,Sevilla FC,Right,MID,25 to 30,83,84,28000,30000000
H. Ziyech,Morocco,Ajax,Left,MID,21 to 25,83,86,28000,32000000
Lucas Vázquez,Spain,Real Madrid,Right,FWD,25 to 30,83,83,205000,27000000
Y. Carrasco,Belgium,Dalian YiFang FC,Right,MID,21 to 25,83,86,20000,33000000
Gerard Moreno,Spain,Villarreal CF,Left,FWD,25 to 30,83,85,53000,32000000
Felipe,Brazil,FC Porto,Right,DEF,25 to 30,83,83,22000,20000000
M. Kovačić,Croatia,Chelsea,Right,MID,21 to 25,83,89,165000,35000000
Kepa,Spain,Chelsea,Right,GK,21 to 25,83,91,84000,28000000
Manu Trigueros,Spain,Villarreal CF,Right,MID,25 to 30,83,84,49000,30000000
S. Gnabry,Germany,FC Bayern München,Right,FWD,21 to 25,83,88,85000,34000000
J. Pickford,England,Everton,Left,GK,21 to 25,83,88,78000,25000000
S. Savić,Montenegro,Atlético Madrid,Right,DEF,25 to 30,83,86,67000,26000000
J. Stones,England,Manchester City,Right,DEF,21 to 25,83,87,125000,28000000
Suso,Spain,Milan,Left,FWD,21 to 25,83,86,115000,33000000
J. Draxler,Germany,Paris Saint-Germain,Right,MID,21 to 25,83,86,91000,32000000
Felipe Anderson,Brazil,West Ham United,Right,MID,21 to 25,83,85,110000,31000000
Lucas Moura,Brazil,Tottenham Hotspur,Right,MID,21 to 25,83,84,115000,31000000
Danilo Pereira,Portugal,FC Porto,Right,MID,25 to 30,83,86,21000,27000000
Nacho Fernández,Spain,Real Madrid,Right,DEF,25 to 30,83,85,180000,24000000
T. Horn,Germany,1. FC Köln,Left,GK,21 to 25,83,87,25000,24000000
Allan,Brazil,Napoli,Right,MID,25 to 30,83,83,87000,26000000
F. Acerbi,Italy,Lazio,Left,DEF,25 to 30,83,83,64000,19000000
Sergi Roberto,Spain,FC Barcelona,Right,DEF,25 to 30,83,86,170000,26000000
Rodrigo,Spain,Valencia CF,Left,FWD,25 to 30,83,84,57000,30000000
Pizzi,Portugal,SL Benfica,Right,MID,25 to 30,83,83,22000,25000000
K. Kampl,Slovenia,RB Leipzig,Right,MID,25 to 30,83,83,74000,26000000
Neto,Brazil,Valencia CF,Right,GK,25 to 30,83,84,41000,21000000
O. Baumann,Germany,TSG 1899 Hoffenheim,Right,GK,25 to 30,83,84,42000,21000000
I. Gueye,Senegal,Everton,Right,MID,25 to 30,83,83,125000,21000000
H. Mkhitaryan,Armenia,Arsenal,Right,MID,25 to 30,83,83,145000,25000000
Marcos Alonso,Spain,Chelsea,Left,DEF,25 to 30,83,84,130000,24000000
D. Subašić,Croatia,AS Monaco,Right,GK,31 to 35,83,83,70000,13000000
K. Glik,Poland,AS Monaco,Right,DEF,25 to 30,83,83,86000,19000000
K. Strootman,Netherlands,Olympique de Marseille,Left,MID,25 to 30,83,83,66000,21000000
B. Dost,Netherlands,Sporting CP,Right,FWD,25 to 30,83,83,26000,26000000
Oscar,Brazil,Shanghai SIPG FC,Right,MID,25 to 30,83,84,29000,30000000
M. Balotelli,Italy,OGC Nice,Right,FWD,25 to 30,83,83,55000,27000000
Luiz Gustavo,Brazil,Olympique de Marseille,Left,DEF,25 to 30,83,83,63000,19000000
Giuliano,Brazil,Al Nassr,Right,MID,25 to 30,83,83,64000,26000000
David Luiz,Brazil,Chelsea,Right,DEF,31 to 35,83,83,130000,17000000
R. Fährmann,Germany,FC Schalke 04,Right,GK,25 to 30,83,84,38000,20000000
Juan Mata,Spain,Manchester United,Left,MID,25 to 30,83,83,160000,24000000
Adán,Spain,Atlético Madrid,Left,GK,31 to 35,83,83,55000,15000000
Rui Patrício,Portugal,Wolverhampton Wanderers,Left,GK,25 to 30,83,83,74000,16000000
Y. Sommer,Switzerland,Borussia Mönchengladbach,Right,GK,25 to 30,83,84,35000,20000000
Javi Martínez,Spain,FC Bayern München,Right,MID,25 to 30,83,83,94000,20000000
L. Bender,Germany,Bayer 04 Leverkusen,Right,DEF,25 to 30,83,83,82000,20000000
Lucas Leiva,Brazil,Lazio,Right,MID,31 to 35,83,83,64000,17000000
S. Mandanda,France,Olympique de Marseille,Right,GK,31 to 35,83,83,51000,13000000
Cesc Fàbregas,Spain,Chelsea,Right,MID,31 to 35,83,83,140000,22000000
M. Dembélé,Belgium,Tottenham Hotspur,Left,MID,25 to 30,83,83,120000,24000000
F. Ribéry,France,FC Bayern München,Right,MID,31 to 35,83,83,72000,11000000
R. Jarstein,Norway,Hertha BSC,Right,GK,31 to 35,83,83,33000,13000000
D. De Rossi,Italy,Roma,Right,MID,31 to 35,83,83,80000,8000000
Pepe Reina,Spain,Milan,Right,GK,31 to 35,83,83,56000,6000000
J. Pavlenka,Czech Republic,SV Werder Bremen,Right,GK,25 to 30,82,85,30000,19000000
M. de Ligt,Netherlands,Ajax,Right,DEF,20 and under,82,91,11000,27000000
Rodri,Spain,Atlético Madrid,Right,MID,21 to 25,82,87,59000,29000000
Arthur,Brazil,FC Barcelona,Right,MID,21 to 25,82,90,125000,32000000
G. Donnarumma,Italy,Milan,Right,GK,20 and under,82,93,23000,29000000
Rosberto Dourado,Brazil,Atlético Mineiro,Right,MID,25 to 30,82,82,46000,16000000
Juiano Mestres,Brazil,Cruzeiro,Right,DEF,31 to 35,82,82,39000,6000000
Raphaelito Anjos,Brazil,Grêmio,Right,GK,25 to 30,82,82,32000,14000000
Gelson Martins,Portugal,Atlético Madrid,Right,MID,21 to 25,82,87,59000,29000000
Gonçalo Guedes,Portugal,Valencia CF,Right,MID,21 to 25,82,86,36000,29000000
L. Torreira,Uruguay,Arsenal,Right,MID,21 to 25,82,87,98000,25000000
Malcom,Brazil,FC Barcelona,Left,FWD,21 to 25,82,89,140000,31000000
Pau López,Spain,Real Betis,Left,GK,21 to 25,82,87,21000,21000000
L. Hernández,France,Atlético Madrid,Left,DEF,21 to 25,82,88,53000,25000000
C. Lenglet,France,FC Barcelona,Left,DEF,21 to 25,82,88,135000,26000000
A. Kramarić,Croatia,TSG 1899 Hoffenheim,Right,MID,25 to 30,82,83,54000,26000000
A. Robertson,Scotland,Liverpool,Left,DEF,21 to 25,82,87,98000,24000000
Dani García,Spain,Athletic Club de Bilbao,Right,MID,25 to 30,82,83,33000,20000000
F. Bernardeschi,Italy,Juventus,Left,MID,21 to 25,82,87,110000,29000000
J. Brandt,Germany,Bayer 04 Leverkusen,Right,MID,21 to 25,82,88,68000,30000000
D. Rugani,Italy,Juventus,Right,DEF,21 to 25,82,86,95000,24000000
Samu Castillejo,Spain,Milan,Left,MID,21 to 25,82,86,94000,29000000
João Cancelo,Portugal,Juventus,Right,DEF,21 to 25,82,88,95000,25000000
A. Romagnoli,Italy,Milan,Left,DEF,21 to 25,82,89,84000,26000000
T. Partey,Ghana,Atlético Madrid,Right,MID,21 to 25,82,88,59000,25000000
Fred,Brazil,Manchester United,Left,MID,21 to 25,82,84,140000,26000000
J. Vardy,England,Leicester City,Right,FWD,31 to 35,82,82,96000,20000000
A. Belotti,Italy,Torino,Right,FWD,21 to 25,82,87,58000,30000000
E. Forsberg,Sweden,RB Leipzig,Right,MID,25 to 30,82,83,67000,26000000
J. Lingard,England,Manchester United,Right,MID,21 to 25,82,83,140000,26000000
F. Vázquez,Argentina,Sevilla FC,Left,MID,25 to 30,82,82,27000,21000000
E. Višća,Bosnia Herzegovina,Medipol Başakşehir FK,Right,MID,25 to 30,82,82,40000,22000000
A. Rüdiger,Germany,Chelsea,Right,DEF,21 to 25,82,84,110000,22000000
A. Florenzi,Italy,Roma,Right,DEF,25 to 30,82,83,73000,20000000
H. Maguire,England,Leicester City,Right,DEF,21 to 25,82,85,77000,23000000
T. Meunier,Belgium,Paris Saint-Germain,Right,MID,25 to 30,82,83,87000,21000000
S. Sané,Senegal,FC Schalke 04,Right,DEF,25 to 30,82,82,41000,18000000
G. Kondogbia,Central African Rep.,Valencia CF,Left,MID,21 to 25,82,85,46000,27000000
Rafinha,Brazil,FC Barcelona,Left,MID,21 to 25,82,87,165000,29000000
Gabriel Paulista,Brazil,Valencia CF,Right,DEF,25 to 30,82,83,44000,21000000
Morata,Spain,Chelsea,Right,FWD,21 to 25,82,85,135000,28000000
J. Cillessen,Netherlands,FC Barcelona,Right,GK,25 to 30,82,84,135000,18000000
W. Ben Yedder,France,Sevilla FC,Right,FWD,25 to 30,82,82,28000,23000000
C. Bakambu,DR Congo,Beijing Sinobo Guoan FC,Right,FWD,25 to 30,82,83,33000,26000000
Pablo Sarabia,Spain,Sevilla FC,Left,MID,25 to 30,82,83,26000,26000000
W. Zaha,Ivory Coast,Crystal Palace,Right,FWD,21 to 25,82,85,78000,28000000
Luis Alberto,Spain,Lazio,Right,FWD,21 to 25,82,85,67000,28000000
Jonathan Viera,Spain,Beijing Sinobo Guoan FC,Right,FWD,25 to 30,82,82,31000,22000000
Bartra,Spain,Real Betis,Right,DEF,25 to 30,82,83,32000,21000000
S. Coates,Uruguay,Sporting CP,Right,DEF,25 to 30,82,83,19000,21000000
Willian José,Brazil,Real Sociedad,Right,FWD,25 to 30,82,83,44000,26000000
Mário Fernandes,Russia,PFC CSKA Moscow,Right,DEF,25 to 30,82,82,1000,18000000
Víctor Ruiz,Spain,Villarreal CF,Left,DEF,25 to 30,82,83,43000,19000000
T. Delaney,Denmark,Borussia Dortmund,Left,MID,25 to 30,82,83,61000,21000000
K. Casteels,Belgium,VfL Wolfsburg,Left,GK,25 to 30,82,85,46000,19000000
M. Götze,Germany,Borussia Dortmund,Right,MID,25 to 30,82,85,67000,27000000
S. Mustafi,Germany,Arsenal,Right,DEF,25 to 30,82,84,115000,22000000
J. Pastore,Argentina,Roma,Right,MID,25 to 30,82,82,84000,21000000
Pedro,Spain,Chelsea,Right,FWD,25 to 30,82,82,140000,21000000
G. Bonaventura,Italy,Milan,Right,MID,25 to 30,82,82,115000,22000000
R. Bürki,Switzerland,Borussia Dortmund,Right,GK,25 to 30,82,85,50000,18000000
Taison,Brazil,Shakhtar Donetsk,Right,MID,25 to 30,82,82,1000,21000000
S. Nzonzi,France,Roma,Right,MID,25 to 30,82,82,77000,17000000
Marlos,Ukraine,Shakhtar Donetsk,Left,MID,25 to 30,82,82,1000,21000000
A. Ramsey,Wales,Arsenal,Right,MID,25 to 30,82,83,130000,25000000
K. Trippier,England,Tottenham Hotspur,Right,DEF,25 to 30,82,82,99000,18000000
A. Kolarov,Serbia,Roma,Left,DEF,31 to 35,82,82,73000,12000000
G. Sigurðsson,Iceland,Everton,Right,MID,25 to 30,82,82,125000,22000000
S. Giovinco,Italy,Toronto FC,Right,FWD,31 to 35,82,82,15000,20000000
M. Arnautović,Austria,West Ham United,Right,FWD,25 to 30,82,82,120000,22000000
N. Gaitán,Argentina,Dalian YiFang FC,Left,MID,25 to 30,82,82,22000,21000000
J. Henderson,England,Liverpool,Right,MID,25 to 30,82,82,125000,18000000
M. Kruse,Germany,SV Werder Bremen,Left,FWD,25 to 30,82,82,45000,21000000
M. Parolo,Italy,Lazio,Right,MID,31 to 35,82,82,59000,9000000
L. Fejsa,Serbia,SL Benfica,Right,MID,25 to 30,82,82,18000,17000000
A. Rami,France,Olympique de Marseille,Right,DEF,31 to 35,82,82,57000,12000000
V. Ćorluka,Croatia,Lokomotiv Moscow,Right,DEF,31 to 35,82,82,1000,12000000
G. Wijnaldum,Netherlands,Liverpool,Right,MID,25 to 30,82,82,130000,23000000
F. Fazio,Argentina,Roma,Right,DEF,31 to 35,82,82,73000,15000000
O. Giroud,France,Chelsea,Left,FWD,31 to 35,82,82,140000,20000000
Marcano,Spain,Roma,Left,DEF,31 to 35,82,82,73000,15000000
A. Guardado,Mexico,Real Betis,Left,MID,31 to 35,82,82,35000,19000000
E. Garay,Argentina,Valencia CF,Right,DEF,31 to 35,82,82,44000,15000000
Jardel,Brazil,SL Benfica,Right,DEF,31 to 35,82,82,17000,12000000
S. Sirigu,Italy,Torino,Right,GK,31 to 35,82,82,45000,13000000
E. Viviano,Italy,Sporting CP,Left,GK,31 to 35,82,82,15000,12000000
L. Koscielny,France,Arsenal,Right,DEF,31 to 35,82,82,115000,12000000
A. Consigli,Italy,Sassuolo,Right,GK,31 to 35,82,82,52000,13000000
L. Biglia,Argentina,Milan,Right,MID,31 to 35,82,82,98000,12000000
Dani Alves,Brazil,Paris Saint-Germain,Right,DEF,31 to 35,82,82,62000,4000000
David Villa,Spain,New York City FC,Right,FWD,Over 35,82,82,12000,8000000
Aduriz,Spain,Athletic Club de Bilbao,Right,FWD,Over 35,82,82,29000,8000000
P. Čech,Czech Republic,Arsenal,Left,GK,Over 35,82,82,60000,3000000
Casillas,Spain,FC Porto,Left,GK,Over 35,82,82,10000,1000000
M. Rashford,England,Manchester United,Right,FWD,20 and under,81,89,110000,27000000
Laure Santeiro,Brazil,Fluminense,Left,MID,25 to 30,81,81,40000,17000000
L. Bailey,Jamaica,Bayer 04 Leverkusen,Left,MID,20 and under,81,89,54000,26000000
M. Akanji,Switzerland,Borussia Dortmund,Right,DEF,21 to 25,81,87,49000,21000000
F. de Jong,Netherlands,Ajax,Right,MID,21 to 25,81,89,19000,26000000
Nélson Semedo,Portugal,FC Barcelona,Right,DEF,21 to 25,81,86,125000,20000000
Pablo Fornals,Spain,Villarreal CF,Right,MID,21 to 25,81,86,36000,24000000
